English Word,Transcription,Russian Translation,Difficulty,Category,Example Sentence
bowl,boʊl,миска,1,Objects,He poured cereal into the bowl.
pan,pæn,сковорода,2,Objects,She fried the eggs in a pan.
oven,ˈʌvən,духовка/печь,3,Objects,The cake is baking in the oven.
fridge,frɪdʒ,холодильник,3,Objects,The milk is in the fridge.
television,ˈtɛləˌvɪʒən,телевизор,3,Objects,He watched a movie on television.
radio,ˈreɪdioʊ,радио,2,Objects,She listens to music on the radio.
clock,klɒk,часы,2,Objects,The clock on the wall showed 3 PM.
watch,wɒtʃ,наручные часы,2,Objects,He checked the time on his watch.
lamp,læmp,лампа,1,Objects,The lamp on the desk is very bright.
light,laɪt,свет/освещение,1,Objects,She turned off the light before bed.
sofa,ˈsoʊfə,диван/софа,2,Furniture,They sat on the sofa watching TV.
bed,bɛd,кровать,1,Furniture,She made her bed in the morning.
pillow,ˈpɪloʊ,подушка,1,Furniture,He rested his head on the pillow.
blanket,ˈblæŋkɪt,одеяло,2,Furniture,She covered herself with a warm blanket.
sheet,ʃiːt,простыня,1,Furniture,He changed the bed sheets yesterday.
shower,ˈʃaʊər,душ,2,Furniture,She takes a shower every morning.
bath,bæθ,ванна,1,Furniture,He prefers a bath over a shower.
towel,ˈtaʊəl,полотенце,1,Furniture,She dried her hands with a towel.
mirror,ˈmɪrər,зеркало,2,Furniture,She looked at herself in the mirror.
toothbrush,ˈtuːθˌbrʌʃ,зубная щетка,2,Objects,He forgot to pack his toothbrush.
toothpaste,ˈtuːθˌpeɪst,зубная паста,2,Objects,The toothpaste is almost empty.
soap,soʊp,мыло,1,Objects,She washed her hands with soap.
shampoo,ʃæmˈpuː,шампунь,2,Objects,He used shampoo to wash his hair.
comb,koʊm,расческа/гребень,1,Objects,She used a comb to style her hair.
hairbrush,ˈhɛrˌbrʌʃ,щетка для волос,2,Objects,He brushed his hair with a hairbrush.
scissors,ˈsɪzərz,ножницы,2,Objects,She used scissors to cut the paper.
razor,ˈreɪzər,бритва,2,Objects,He shaved his beard with a razor.
shirt,ʃɜːrt,рубашка,1,Clothing,He wore a blue shirt to the meeting.
t-shirt,ˈtiːˌʃɜːrt,футболка,1,Clothing,She bought a new T-shirt at the store.
pants,pænts,брюки/штаны,1,Clothing,He prefers jeans over pants.
jeans,ʤiːnz,джинсы,1,Clothing,She wore her favorite jeans to the party.
skirt,skɜːrt,юбка,1,Clothing,She wore a red skirt to the event.
dress,drɛs,платье,1,Clothing,She looked stunning in her new dress.
shoes,ʃuːz,обувь/туфли,1,Clothing,He polished his shoes before going out.
socks,sɒks,носки,1,Clothing,She put on warm socks in the winter.
hat,hæt,шляпа/головной убор,1,Clothing,He wore a hat to protect himself from the sun.
coat,koʊt,пальто,1,Clothing,She put on her coat before leaving the house.
jacket,ˈʤækɪt,куртка/пиджак,1,Clothing,He zipped up his jacket to keep warm.
gloves,ɡlʌvz,перчатки,1,Clothing,She wore gloves to protect her hands.
scarf,skɑːrf,шарф,1,Clothing,He wrapped a scarf around his neck.
belt,bɛlt,ремень/пояс,1,Clothing,He tightened his belt after eating.
suit,suːt,костюм,2,Clothing,He wore a black suit to the wedding.
tie,taɪ,галстук,2,Clothing,He struggled to tie his tie properly.
pocket,ˈpɒkɪt,карман,1,Clothing,She put her phone in her pocket.
bag,bæɡ,сумка/портфель,1,Objects,She carried her books in a bag.
wallet,ˈwɒlɪt,бумажник,2,Objects,He keeps his money in a wallet.
key,kiː,ключ,1,Objects,She lost her car key.
lock,lɒk,замок/запор,2,Objects,He turned the key to unlock the door.
doorbell,ˈdɔːrbɛl,дверной звонок,2,Objects,She rang the doorbell three times.
curtain,ˈkɜːrtən,занавеска/штора,2,Furniture,He opened the curtain to let in some light.
carpet,ˈkɑːrpɪt,ковер,2,Furniture,The living room carpet is soft and cozy.
vacuum cleaner,ˈvækjuːm ˈkliːnər,пылесос,3,Objects,He used the vacuum cleaner to clean the floor.
broom,bruːm,метла/щетка,1,Objects,She swept the floor with a broom.
dustpan,ˈdʌstˌpæn,совок для мусора,2,Objects,He used a dustpan to collect the dirt.
mop,mɒp,швабра,2,Objects,She cleaned the kitchen floor with a mop.
bucket,ˈbʌkɪt,ведро,1,Objects,He filled the bucket with water.
washing machine,ˈwɒʃɪŋ məˈʃiːn,стиральная машина,3,Objects,She did laundry in the washing machine.
dryer,ˈdraɪər,сушилка,3,Objects,The clothes were dried in the dryer.
iron,ˈaɪərn,утюг,2,Objects,He ironed his shirt before work.
fan,fæn,вентилятор,2,Objects,The fan kept the room cool.
air conditioner,ˈɛr kənˈdɪʃənər,кондиционер,3,Objects,The air conditioner was set to a comfortable temperature.
heater,ˈhiːtər,обогреватель,3,Objects,The heater kept the house warm in winter.
stove,stoʊv,плита/печь,3,Objects,She cooked pasta on the stove.
microwave,ˈmaɪkrəˌweɪv,микроволновка,3,Objects,He reheated his meal in the microwave.
toaster,ˈtoʊstər,тостер,3,Objects,The bread was toasted in the toaster.
blender,ˈblɛndər,блендер,3,Objects,She made a smoothie in the blender.
can opener,ˈkæn ˌoʊpənər,открывашка/консервный нож,2,Objects,He used a can opener to open the beans.
corkscrew,ˈkɔːrkˌskruː,штопор,2,Objects,She opened the wine with a corkscrew.
grater,ˈɡreɪtər,терка/тёрка,2,Objects,She grated cheese with a grater.
whisk,wɪsk,венчик,2,Objects,He whisked the eggs for the omelet.
spatula,ˈspæʧələ,лопатка,2,Objects,She flipped the pancakes with a spatula.
tongs,tɒŋz,щипцы,2,Objects,He used tongs to serve the salad.
frying pan,ˈfraɪɪŋ pæn,сковорода,2,Objects,She fried the vegetables in the frying pan.
pot,pɒt,кастрюля,2,Objects,The soup is simmering in the pot.
kettle,ˈkɛtəl,чайник,2,Objects,She boiled water in the kettle.
sink,sɪŋk,раковина/мойка,2,Furniture,He washed the dishes in the sink.
tap,tæp,кран,2,Furniture,She turned the tap to get some water.
dishwasher,ˈdɪʃˌwɒʃər,посудомоечная машина/посудомойка,3,Objects,The dishwasher is full of dirty dishes.
freezer,ˈfriːzər,морозильник/морозилка,3,Objects,She put the ice cream in the freezer.
saucepan,ˈsɔːspæn,кастрюля/сотейник,2,Objects,She heated the soup in a saucepan.
cutting board,ˈkʌtɪŋ bɔːrd,разделочная доска/доска для нарезки,2,Objects,He chopped vegetables on the cutting board.
rolling pin,ˈroʊlɪŋ pɪn,скалка,2,Objects,She used a rolling pin to flatten the dough.
measuring cup,ˈmɛʒərɪŋ kʌp,мерный стакан,2,Objects,He used a measuring cup to measure the flour.
oven mitt,ˈʌvən mɪt,прихватка/рукавица,2,Objects,She wore an oven mitt to take the hot dish out of the oven.
bread,brɛd,хлеб/батон,1,Food,He bought a fresh loaf of bread.
butter,ˈbʌtər,масло/сливочное масло,1,Food,She spread butter on her toast.
cheese,ʧiːz,сыр,1,Food,They added cheese to the pizza.
milk,mɪlk,молоко,1,Food,He drank a glass of milk with breakfast.
yogurt,ˈjoʊɡərt,йогурт,1,Food,She enjoys yogurt with fruit in the morning.
egg,ɛɡ,яйцо,1,Food,He boiled an egg for lunch.
meat,miːt,мясо,1,Food,She cooked meat for dinner.
fish,fɪʃ,рыба,1,Food,They had grilled fish for dinner.
chicken,ˈʧɪkɪn,курица/куриное мясо,1,Food,He prepared a roast chicken for dinner.
beef,biːf,говядина,1,Food,She made beef stew for the family.
pork,pɔːrk,свинина,1,Food,He enjoys pork chops with mashed potatoes.
ham,hæm,ветчина/окорок,1,Food,She made a ham sandwich for lunch.
bacon,ˈbeɪkən,бекон,1,Food,The smell of bacon filled the kitchen.
sausage,ˈsɒsɪdʒ,колбаса/сосиска,2,Food,They grilled sausages for the barbecue.
rice,raɪs,рис,1,Food,She cooked rice to go with the curry.
pasta,ˈpæstə,макароны/паста,1,Food,They served pasta with tomato sauce.
potato,pəˈteɪtoʊ,картофель/картошка,1,Food,He mashed the potatoes for dinner.
tomato,təˈmeɪtoʊ,помидор/томат,1,Food,She sliced a tomato for the salad.
cucumber,ˈkjuːkʌmbər,огурец,2,Food,He added cucumber to the sandwich.
carrot,ˈkærət,морковь,1,Food,She grated a carrot for the salad.
onion,ˈʌnjən,лук,1,Food,He chopped an onion for the stir-fry.
garlic,ˈɡɑːrlɪk,чеснок,1,Food,She added garlic to the sauce.
lettuce,ˈlɛtɪs,салат/листовой салат,1,Food,He used lettuce in the burger.
spinach,ˈspɪnɪʧ,шпинат,2,Food,She sautéed spinach with garlic.
broccoli,ˈbrɒkəli,брокколи,2,Food,They steamed broccoli as a side dish.
cauliflower,ˈkɒlɪˌflaʊər,цветная капуста,2,Food,She made a cauliflower soup.
pepper,ˈpɛpər,перец,1,Food,He sprinkled black pepper on his meal.
salt,sɔːlt,соль,1,Food,She added a pinch of salt to the soup.
sugar,ˈʃʊɡər,сахар,1,Food,He stirred sugar into his coffee.
oil,ɔɪl,масло/растительное масло,1,Food,She drizzled olive oil over the salad.
vinegar,ˈvɪnɪɡər,уксус,2,Food,He mixed vinegar with oil for the dressing.
mustard,ˈmʌstərd,горчица,2,Food,She spread mustard on the sandwich.
ketchup,ˈkɛʧəp,кетчуп,1,Food,He dipped his fries in ketchup.
mayonnaise,ˈmeɪəˌneɪz,майонез,2,Food,She added mayonnaise to the potato salad.
read,riːd,читать,1,Verbs,He loves to read books before bed.
write,raɪt,писать,1,Verbs,She writes in her journal every night.
speak,spiːk,говорить/разговаривать,1,Verbs,He speaks English fluently.
listen,ˈlɪsən,слушать/прислушиваться,1,Verbs,She likes to listen to music while working.
hear,hɪr,слышать/услышать,1,Verbs,He can hear birds singing outside.
see,siː,видеть/увидеть,1,Verbs,She could see the mountains from her window.
watch,wɒtʃ,смотреть/наблюдать,2,Verbs,They watched a movie last night.
look,lʊk,смотреть/глядеть,1,Verbs,He looked out the window.
sit,sɪt,сидеть/присесть,1,Verbs,She sat down to rest for a while.
stand,stænd,стоять/встать,1,Verbs,He stood in line at the store.
walk,wɔːk,ходить/идти,1,Verbs,She walks her dog every morning.
run,rʌn,бежать/бегать,1,Verbs,He runs five kilometers every day.
jump,ʤʌmp,прыгать/скакать,1,Verbs,The kids love to jump on the trampoline.
dance,dæns,танцевать/плясать,1,Verbs,They danced to the music all night.
sing,sɪŋ,петь/напевать,1,Verbs,She sings in the choir every Sunday.
eat,iːt,есть/кушать,1,Verbs,He eats breakfast at 7 AM every day.
drink,drɪŋk,пить/выпивать,1,Verbs,She drank a glass of water after the run.
sleep,sliːp,спать/дремать,1,Verbs,He tries to sleep eight hours a night.
wake,weɪk,просыпаться/будить,1,Verbs,She wakes up early for work.
open,ˈoʊpən,открывать/распахивать,1,Verbs,He opened the window to let in fresh air.
close,kloʊz,закрывать/захлопывать,1,Verbs,She closed the door quietly.
push,pʊʃ,толкать/нажимать,1,Verbs,He pushed the door open.
pull,pʊl,тянуть/дергать,1,Verbs,She pulled the rope to raise the flag.
lift,lɪft,поднимать/вздымать,1,Verbs,He lifted the box onto the shelf.
carry,ˈkæri,нести/переносить,1,Verbs,She carried the groceries home.
throw,θroʊ,бросать/кидать,2,Verbs,He threw the ball to his friend.
catch,kæʧ,ловить/поймать,1,Verbs,She caught the ball with one hand.
drive,draɪv,водить/управлять,2,Verbs,He drives to work every day.
ride,raɪd,ехать верхом/кататься,2,Verbs,She rode her bike to the park.
fly,flaɪ,летать/полететь,1,Verbs,He wants to learn how to fly a plane.
swim,swɪm,плавать/купаться,1,Verbs,They swam in the lake during the summer.
climb,klaɪm,лазить/взбираться,2,Verbs,She climbed the mountain with her friends.
dig,dɪɡ,копать/рыть,1,Verbs,He dug a hole in the garden.
plant,plænt,сажать/сеять,1,Verbs,She planted flowers in the yard.
grow,ɡroʊ,расти/выращивать,1,Verbs,He grows vegetables in his garden.
cut,kʌt,резать/отрезать,1,Verbs,She cut the paper with scissors.
cook,kʊk,готовить/варить,1,Verbs,He cooked dinner for his family.
bake,beɪk,печь/выпекать,1,Verbs,She baked a cake for the party.
boil,bɔɪl,варить/кипятить,1,Verbs,He boiled water for tea.
fry,fraɪ,жарить/поджаривать,1,Verbs,She fried the eggs in a pan.
mix,mɪks,смешивать/перемешивать,1,Verbs,He mixed the ingredients for the cake.
stir,stɜːr,мешать/размешивать,1,Verbs,She stirred the soup on the stove.
clean,kliːn,чистить/убирать,1,Verbs,He cleaned the kitchen after dinner.
wash,wɒʃ,мыть/стирать,1,Verbs,She washed the dishes by hand.
dry,draɪ,сушить/высушивать,1,Verbs,He dried the plates with a towel.
sweep,swiːp,подметать/чистить,1,Verbs,She swept the floor after breakfast.
mop,mɒp,мыть шваброй/протирать,1,Verbs,He mopped the kitchen floor.
vacuum,ˈvækjuːm,пылесосить/вакуумировать,2,Verbs,She vacuumed the living room.
dust,dʌst,вытирать пыль/чистить,1,Verbs,He dusted the shelves in the library.
iron,ˈaɪərn,гладить/утюжить,1,Verbs,She ironed her shirt for work.
fold,foʊld,складывать/сгибать,1,Verbs,He folded the laundry.
hang,hæŋ,вешать/подвешивать,1,Verbs,She hung the picture on the wall.
change,ʧeɪndʒ,менять/изменять,1,Verbs,He changed his clothes after work.
fix,fɪks,чинить/ремонтировать,1,Verbs,She fixed the broken chair.
repair,rɪˈpɛr,ремонтировать/исправлять,2,Verbs,He repaired the car engine.
build,bɪld,строить/создавать,1,Verbs,She built a birdhouse with her kids.
paint,peɪnt,красить/раскрашивать,1,Verbs,They painted the walls blue.
draw,drɔː,рисовать/чертить,1,Verbs,She drew a picture of a tree.
count,kaʊnt,считать/подсчитывать,1,Verbs,He counted the coins on the table.
measure,ˈmɛʒər,измерять/мерить,2,Verbs,She measured the length of the fabric.
weigh,weɪ,взвешивать/определять вес,1,Verbs,He weighed the ingredients for the cake.
record,rɪˈkɔrd,записывать/фиксировать,2,Verbs,She recorded the meeting on her phone.
photograph,ˈfoʊtəˌɡræf,фотографировать/снимать,3,Verbs,He photographed the beautiful sunset.
phone,foʊn,звонить/вызывать,1,Verbs,She phoned her friend to catch up.
answer,ˈænsər,отвечать/реагировать,1,Verbs,He answered the phone on the second ring.
ask,æsk,спрашивать/задавать вопрос,1,Verbs,She asked the teacher a question.
question,ˈkwɛsʧən,задавать вопросы/допрашивать,2,Verbs,
understand,ˌʌndərˈstænd,понимать/осознавать,2,Verbs,
explain,ɪkˈspleɪn,объяснять/разъяснять,2,Verbs,
learn,lɜːrn,учить/изучать,1,Verbs,
study,ˈstʌdi,изучать/заниматься,1,Verbs,
teach,tiːʧ,учить/преподавать,1,Verbs,
train,treɪn,тренировать/обучать,1,Verbs,
practice,ˈpræktɪs,практиковаться/тренироваться,2,Verbs,
test,tɛst,тестировать/проверять,1,Verbs,
solve,sɒlv,решать/разрешать,1,Verbs,
calculate,ˈkælkjʊˌleɪt,вычислять/подсчитывать,2,Verbs,
invent,ɪnˈvɛnt,изобретать/придумывать,2,Verbs,
discover,dɪˈskʌvər,открывать/обнаруживать,2,Verbs,
explore,ɪkˈsplɔr,исследовать/разведывать,2,Verbs,
research,rɪˈsɜrʧ,исследовать/изучать,2,Verbs,
analyze,ˈænəˌlaɪz,анализировать/разбирать,2,Verbs,
decide,dɪˈsaɪd,решать/принимать решение,2,Verbs,
choose,ʧuːz,выбирать/избирать,1,Verbs,
select,sɪˈlɛkt,выбирать/подбирать,1,Verbs,
judge,ʤʌʤ,судить/оценивать,1,Verbs,
compare,kəmˈpɛr,сравнивать/сопоставлять,2,Verbs,
contrast,ˈkɒntræst,сопоставлять/противопоставлять,2,Verbs,
remember,rɪˈmɛmbər,помнить/вспоминать,2,Verbs,
forget,fərˈɡɛt,забывать/оставлять,2,Verbs,
remind,rɪˈmaɪnd,напоминать/уведомлять,2,Verbs,
imagine,ɪˈmæʤən,представлять/воображать,2,Verbs,
dream,driːm,мечтать/видеть сны,1,Verbs,
hope,hoʊp,надеяться/уповать,1,Verbs,
wish,wɪʃ,желать/хотеть,1,Verbs,
believe,bɪˈliːv,верить/полагать,1,Verbs,
doubt,daʊt,сомневаться/подозревать,1,Verbs,
guess,ɡɛs,угадывать,1,Verbs,
plan,plæn,планировать,1,Verbs,
organize,ˈɔːrɡəˌnaɪz,организовывать,2,Verbs,
arrange,əˈreɪndʒ,договариваться,2,Verbs,
manage,ˈmænɪʤ,управлять,1,Verbs,
lead,liːd,руководить,1,Verbs,
control,kənˈtroʊl,контролировать,1,Verbs,
command,kəˈmænd,командовать,2,Verbs,
direct,dɪˈrɛkt,направлять,2,Verbs,
guide,ɡaɪd,направлять,1,Verbs,
supervise,ˈsuːpərˌvaɪz,контролировать,2,Verbs,
motivate,ˈmoʊtəˌveɪt,мотивировать,2,Verbs,
inspire,ɪnˈspaɪər,вдохновлять,2,Verbs,
encourage,ɪnˈkɜrɪʤ,поощрять,2,Verbs,
support,səˈpɔrt,поддерживать,1,Verbs,
defend,dɪˈfɛnd,защищать,2,Verbs,
attack,əˈtæk,атаковать,2,Verbs,
fight,faɪt,драться,1,Verbs,
protect,prəˈtɛkt,защищать,2,Verbs,
serve,sɜrv,служить,1,Verbs,
help,hɛlp,помогать,1,Verbs,
assist,əˈsɪst,ассистировать,2,Verbs,
suggest,səˈʤɛst,предлагать,2,Verbs,
recommend,ˌrɛkəˈmɛnd,рекомендовать,2,Verbs,
persuade,pərˈsweɪd,убеждать,2,Verbs,
convince,kənˈvɪns,убеждать,2,Verbs,
negotiate,nɪˈɡoʊʃiˌeɪt,вести переговоры,3,Verbs,
argue,ˈɑrɡjuː,спорить,2,Verbs,
discuss,dɪˈskʌs,обсуждать,2,Verbs,
debate,dɪˈbeɪt,дискутировать,2,Verbs,
talk,tɔk,говорить,1,Verbs,
chat,ʧæt,болтать,1,Verbs,
converse,kənˈvɜrs,беседовать,2,Verbs,
inform,ɪnˈfɔrm,информировать,2,Verbs,
notify,ˈnoʊtəˌfaɪ,уведомлять,2,Verbs,
announce,əˈnaʊns,объявлять,2,Verbs,
declare,dɪˈklɛr,заявлять,2,Verbs,
proclaim,proʊˈkleɪm,провозглашать,2,Verbs,
pronounce,prəˈnaʊns,произносить,2,Verbs,
say,seɪ,сказать,1,Verbs,
tell,tɛl,рассказывать,1,Verbs,
express,ɪkˈsprɛs,выражать,2,Verbs,
communicate,kəmˈjunɪˌkeɪt,общаться,3,Verbs,
convey,kənˈveɪ,передавать,2,Verbs,
transfer,trænsˈfɜr,переводить,2,Verbs,
deliver,dɪˈlɪvər,доставлять,2,Verbs,
send,sɛnd,посылать,1,Verbs,
receive,rɪˈsiv,получать,2,Verbs,
accept,ækˈsɛpt,принимать,2,Verbs,
decline,dɪˈklaɪn,отклонять,2,Verbs,
refuse,rɪˈfjuz,отказываться,2,Verbs,
permit,pərˈmɪt,разрешать,2,Verbs,
allow,əˈlaʊ,позволять,2,Verbs,
forbid,fərˈbɪd,запрещать,2,Verbs,
criticize,ˈkrɪtəˌsaɪz,критиковать,2,Verbs,
praise,preɪz,хвалить,1,Verbs,
estimate,ˈɛstəmət,оценивать,2,Verbs,
value,ˈvæljuː,ценить,1,Verbs,
appreciate,əˈpriʃiˌeɪt,ценить,2,Verbs,
ignore,ɪɡˈnɔr,игнорировать,2,Verbs,
notice,ˈnoʊtɪs,замечать,1,Verbs,
observe,əbˈzɜrv,наблюдать,2,Verbs,
examine,ɪɡˈzæmɪn,исследовать,2,Verbs,
search,sɜrʧ,искать,1,Verbs,
find,faɪnd,находить,1,Verbs,
lose,luːz,терять,1,Verbs,
discover,dɪˈskʌvər,обнаруживать,2,Verbs,
detect,dɪˈtɛkt,обнаруживать,2,Verbs,
identify,aɪˈdɛntɪˌfaɪ,идентифицировать,2,Verbs,
classify,ˈklæsɪˌfaɪ,классифицировать,2,Verbs,
sort,sɔrt,сортировать,1,Verbs,
arrange,əˈreɪndʒ,организовывать,2,Verbs,
schedule,ˈskɛʤʊl,составлять расписание,2,Verbs,
prepare,prɪˈpɛr,готовить,1,Verbs,
coordinate,koʊˈɔrdɪˌneɪt,координировать,3,Verbs,
dominate,ˈdɒmɪˌneɪt,доминировать,2,Verbs,
influence,ˈɪnflʊəns,влиять,2,Verbs,
order,ˈɔrdər,приказывать,1,Verbs,
urge,ɜrdʒ,настоятельно призывать,1,Verbs,
press,prɛs,нажимать,1,Verbs,
click,klɪk,щелкать,1,Verbs,
type,taɪp,печатать,1,Verbs,
print,prɪnt,печать,1,Verbs,
scan,skæn,сканировать,1,Verbs,
copy,ˈkɒpi,копировать,1,Verbs,
paste,peɪst,вставлять,1,Verbs,
delete,dɪˈliːt,удалять,1,Verbs,
save,seɪv,сохранять,1,Verbs,
upload,ˌʌpˈloʊd,загружать,2,Verbs,
download,ˌdaʊnˈloʊd,скачивать,2,Verbs,
browse,braʊz,просматривать,1,Verbs,
surf,sɜrf,просматривать,1,Verbs,
share,ʃɛr,делиться,1,Verbs,
connect,kəˈnɛkt,соединять,2,Verbs,
join,ʤɔɪn,присоединяться,1,Verbs,
link,lɪŋk,связывать,1,Verbs,
disconnect,ˌdɪskəˈnɛkt,отсоединять,2,Verbs,
block,blɒk,блокировать,1,Verbs,
unblock,ʌnˈblɒk,разблокировать,2,Verbs,
install,ɪnˈstɔl,устанавливать,2,Verbs,
remove,rɪˈmuv,удалять,1,Verbs,
replace,rɪˈpleɪs,заменять,2,Verbs,
insert,ˌɪnˈsɜrt,вставлять,2,Verbs,
debug,ˌdiːˈbʌɡ,устранять ошибки,2,Verbs,
monitor,ˈmɒnɪtə,мониторить,2,Verbs,
optimize,ˈɒptɪmaɪz,оптимизировать,2,Verbs,
validate,ˈvælɪdeɪt,проверять,2,Verbs,
integrate,ˈɪntɪɡreɪt,интегрировать,2,Verbs,
deploy,dɪˈplɔɪ,разворачивать,2,Verbs,
maintain,meɪnˈteɪn,поддерживать,1,Verbs,
troubleshoot,ˈtrʌblʃuːt,устранять неполадки,2,Verbs,
document,ˈdɒkjʊmənt,документировать,2,Verbs,
archive,ˈɑrkɪv,архивировать,2,Verbs,
backup,ˈbækˌʌp,резервировать,2,Verbs,
encrypt,ɪnˈkrɪpt,шифровать,2,Verbs,
decrypt,diːˈkrɪpt,расшифровывать,2,Verbs,
compress,kəmˈprɛs,сжимать,2,Verbs,
decompress,diːkəmˈprɛs,разжимать,2,Verbs,
restore,rɪˈstɔr,восстанавливать,2,Verbs,
recover,rɪˈkʌvər,восстанавливать,2,Verbs,
upgrade,ˈʌpˌɡreɪd,обновлять,2,Verbs,
update,ʌpˈdeɪt,обновлять,2,Verbs,
modify,ˈmɒdɪfaɪ,изменять,2,Verbs,
customize,ˈkʌstəˌmaɪz,настраивать,2,Verbs,
configure,kənˈfɪɡə,настраивать,2,Verbs,
personalize,ˈpɜrsənəˌlaɪz,персонализировать,2,Verbs,
develop,dɪˈvɛləp,разрабатывать,2,Verbs,
create,kriˈeɪt,создавать,2,Verbs,
generate,ˈʤɛnəˌreɪt,генерировать,2,Verbs,
construct,kənˈstrʌkt,конструировать,2,Verbs,
design,dɪˈzaɪn,дизайнировать,2,Verbs,
describe,dɪˈskraɪb,описывать,2,Verbs,
illustrate,ˈɪləˌstreɪt,иллюстрировать,2,Verbs,
clarify,ˈklærəˌfaɪ,уточнять,2,Verbs,
interpret,ɪnˈtɜrprɪt,интерпретировать,2,Verbs,
translate,trænsˈleɪt,переводить,2,Verbs,
advocate,ˈædvəˌkeɪt,отстаивать,3,Verbs,
assist,əˈsɪst,помогать,2,Verbs,
aid,eɪd,помогать,1,Verbs,
facilitate,fəˈsɪlɪˌteɪt,способствовать,3,Verbs,
back,bæk,поддерживать,1,Verbs,
advise,ədˈvaɪz,советовать,1,Verbs,
propose,prəˈpoʊz,предлагать,2,Verbs,
submit,səbˈmɪt,подавать,2,Verbs,
present,ˈprɛzənt,представлять,1,Verbs,
offer,ˈɔfər,предлагать,1,Verbs,
request,rɪˈkwɛst,запрашивать,1,Verbs,
ask,æsk,просить,1,Verbs,
demand,dɪˈmænd,требовать,2,Verbs,
require,rɪˈkwaɪər,требовать,2,Verbs,
introduce,ˌɪntrəˈdus,вводить,2,Verbs,
initiate,ɪˈnɪʃiˌeɪt,начинать,2,Verbs,
start,stɑrt,начинать,1,Verbs,
begin,bɪˈɡɪn,начинать,1,Verbs,
commence,kəˈmɛns,начинать,2,Verbs,
launch,lɔnʧ,запускать,1,Verbs,
conclude,kənˈkluːd,заключать,2,Verbs,
finish,ˈfɪnɪʃ,заканчивать,1,Verbs,
complete,kəmˈpliːt,завершать,2,Verbs,
end,ɛnd,заканчивать,1,Verbs,
terminate,ˈtɜrmɪˌneɪt,завершать,2,Verbs,
finalize,ˈfaɪnəlˌaɪz,завершать,2,Verbs,
execute,ˈɛksɪˌkjut,выполнять,2,Verbs,
implement,ˈɪmplɪˌmɛnt,реализовывать,2,Verbs,
apply,əˈplaɪ,применять,1,Verbs,
use,juːz,использовать,1,Verbs,
operate,ˈɒpəˌreɪt,управлять,2,Verbs,
run,rʌn,управлять,1,Verbs,
oversee,ˈoʊvərˌsiː,надзирать,2,Verbs,
handle,ˈhændl,обращаться с,1,Verbs,
manipulate,məˈnɪpjʊˌleɪt,манипулировать,2,Verbs,
drive,draɪv,управлять,1,Verbs,
